Institutions,Country_by_institution,Outputs
Vrije Universiteit Amsterdam,Netherlands,41
CNRS,France,34
University of Amsterdam,Netherlands,33
University of Groningen,Netherlands,27
KU Leuven,Belgium,26
Instituto de Salud Carlos III,Spain,25
Centro de Investigación Biomédica en Red,Spain,25
Johnson & Johnson,United States,23
Amsterdam UMC,Netherlands,23
University of Massachusetts,United States,22
Maynooth University,Ireland,21
Trinity College Dublin,Ireland,20
Dalhousie University,Canada,20
University of Barcelona,Spain,19
Institut national de la santé et de la recherche médicale,France,19
Pontificia Universidad Católica de Chile,Chile,19
University Institute of Lisbon,Portugal,19
Tilburg University,Netherlands,18
University of Toronto,Canada,17
Kyoto University,Japan,16
University of Limerick,Ireland,16
Utrecht University,Netherlands,16
University of Hamburg,Germany,15
Radboud University Nijmegen,Netherlands,15
Clark University,United States,15
Northwestern University,United States,15
University of Queensland,Australia,14
Lingnan University,Hong Kong,14
H. Lundbeck A/S,Denmark,14
King Saud University,Saudi Arabia,14
Iowa State University,United States,14
Stanford University,United States,14
Ruhr University Bochum,Germany,13
McGill University,Canada,13
Universidade de Brasília,Brazil,13
University of Melbourne,Australia,12
Ivane Javakhishvili Tbilisi State University,Georgia,12
Czech Academy of Sciences,Czech Republic,12
Polish Academy of Sciences,Poland,12
West University of Timisoara,Romania,12
University of Belgrade,Serbia,12
Carleton University,Canada,12
Queen's University Kingston,Canada,12
New York University,United States,12
SWPS University of Social Sciences and Humanities,Poland,12
Université Paris Cité,France,12
Nanyang Technological University,Singapore,11
University of Oslo,Norway,11
University of Montreal,Canada,11
York University Toronto,Canada,11
Harvard University,United States,11
The University of Chicago,United States,11
Université Fédérale Toulouse Midi-Pyrénées,France,11
Renmin University of China,China,10
Johannes Kepler University Linz,Austria,10
University of Vienna,Austria,10
Bielefeld University,Germany,10
National and Kapodistrian University of Athens,Greece,10
Eotvos Lorand University,Hungary,10
University of Padua,Italy,10
Leiden University,Netherlands,10
Columbia University,United States,10
Yale University,United States,10
Higher School of Economics,Russian Federation,10
Istanbul Bilgi University,Turkey,10
Macquarie University,Australia,9
Hokkaido University,Japan,9
Victoria University of Wellington,New Zealand,9
Augsburg University,Germany,9
Sorbonne Université,France,9
Duke University,United States,9
Pennsylvania State University,United States,9
University of Georgia,United States,9
Canadian Institute for Advanced Research,Canada,9
International Islamic University Malaysia,Malaysia,8
The University of Auckland,New Zealand,8
University of Geneva,Switzerland,8
Ulm University,Germany,8
University of Copenhagen,Denmark,8
University of Granada,Spain,8
University of Campania Luigi Vanvitelli,Italy,8
Catholic University of the Sacred Heart,Italy,8
Roma Tre University,Italy,8
Karolinska Institutet,Sweden,8
Slovak Academy of Sciences,Slovakia,8
American University of Beirut,Lebanon,8
TOBB University of Economics and Technology,Turkey,8
University of British Columbia,Canada,8
Massachusetts Institute of Technology,United States,8
University of California at Santa Barbara,United States,8
University of Pennsylvania,United States,8
Universidade de São Paulo,Brazil,8
TED University,Turkey,8
Nagoya University of Commerce and Business,Japan,8
LAB University of Applied Sciences,Finland,8
La Trobe University,Australia,7
University of New South Wales,Australia,7
Hong Kong Polytechnic University,Hong Kong,7
University of Zurich,Switzerland,7
Charles University,Czech Republic,7
Palacký University Olomouc,Czech Republic,7
Aarhus University,Denmark,7
Complutense University,Spain,7
University of Málaga,Spain,7
Université Clermont Auvergne,France,7
Universite Jean Monnet Saint-Etienne,France,7
Hungarian Academy of Sciences,Hungary,7
Gabriele d'Annunzio University,Italy,7
University of Rome La Sapienza,Italy,7
University of Trento,Italy,7
University of Milan - Bicocca,Italy,7
Maastricht University,Netherlands,7
Sabanci University,Turkey,7
Clemson University,United States,7
"University of Michigan, Ann Arbor",United States,7
University of Rochester,United States,7
Pontificia Universidad Católica del Perú,Peru,7
Institute of Psychology of the Polish Academy of Sciences,Poland,7
University of Ghana,Ghana,6
Australian National University,Australia,6
Deakin University,Australia,6
University of Western Australia,Australia,6
Australian Catholic University,Australia,6
Nagoya University,Japan,6
Sogang University,South Korea,6
Thammasat University,Thailand,6
National Chengchi University,Taiwan,6
University of Lausanne,Switzerland,6
University of Marburg,Germany,6
Ludwig Maximilian University of Munich,Germany,6
University of Münster,Germany,6
Institut universitaire de France,France,6
University of Iceland,Iceland,6
University of Cagliari,Italy,6
University of Messina,Italy,6
IRCCS Fondazione Santa Lucia - Roma,Italy,6
Vilnius University,Lithuania,6
Babes-Bolyai University,Romania,6
Russian Academy of Sciences,Russian Federation,6
Stockholm University,Sweden,6
Ben-Gurion University of the Negev,Israel,6
Arizona State University,United States,6
National Institutes of Health,United States,6
University of California at Davis,United States,6
"University of Maryland, Baltimore",United States,6
University of North Carolina at Chapel Hill,United States,6
University of South Florida,United States,6
Universidade Presbiteriana Mackenzie,Brazil,6
Universidad de los Andes Colombia,Colombia,6
Tallinn University,Estonia,6
CAS - Institute of Psychology,China,6
Chinese Academy of Sciences,China,6
Reichman University,Israel,6
Universidad Iberoamericana (UIA),Mexico,6
Universidad Diego Portales,Chile,6
University of the Valley of Guatemala,Guatemala,6
Universidad del Desarrollo,Chile,6
Nord University,Norway,6
Omsk State University,Russian Federation,6
Universidad ICESI,Colombia,6
Instituto D'or de Pesquisa e Ensino,Brazil,6
Zurich University of Applied Sciences,Switzerland,6
Indiana University Northwest,United States,6
Baze University,Nigeria,6
Research Centre for Natural Sciences,Hungary,6
Universidad Nacional de La Matanza,Argentina,6
The University of Haripur,Pakistan,6
Curtin University,Australia,5
Peking University,China,5
The University of Hong Kong,Hong Kong,5
Chulalongkorn University,Thailand,5
Université libre de Bruxelles,Belgium,5
University of Cyprus,Cyprus,5
Osnabrück University,Germany,5
University of Bonn,Germany,5
Universidad Autónoma de Madrid,Spain,5
University of Zaragoza,Spain,5
National Distance Education University,Spain,5
Autonomous University of Barcelona,Spain,5
Commissariat à l’énergie atomique et aux énergies alternatives,France,5
Universite Claude Bernard Lyon 1,France,5
University of Rijeka,Croatia,5
University of Bologna,Italy,5
IRCCS Centro San Giovanni di Dio Fatebenefratelli - Brescia,Italy,5
University of Tromsø – The Arctic University of Norway,Norway,5
University of Novi Sad,Serbia,5
University of Luxembourg,Luxembourg,5
Yerevan State University,Armenia,5
Saint Francis Xavier University,Canada,5
Simon Fraser University,Canada,5
University of Waterloo,Canada,5
Purdue University,United States,5
University of California at Los Angeles,United States,5
University of California at San Diego,United States,5
University of Illinois at Urbana-Champaign,United States,5
University of Texas at Austin,United States,5
Consejo Nacional de Investigaciones Científicas y Técnicas,Argentina,5
Universidad de Buenos Aires,Argentina,5
NYU Abu Dhabi,United Arab Emirates,5
International Islamic University Islamabad,Pakistan,5
Universidad San Sebastián,Chile,5
Université de Lyon,France,5
Massachusetts General Hospital,United States,5
University of Nigeria,Nigeria,4
North West University,South Africa,4
Fudan University,China,4
Southwest University,China,4
Sungkyunkwan University,South Korea,4
Yonsei University,South Korea,4
University of Otago,New Zealand,4
National University of Singapore,Singapore,4
Ghent University,Belgium,4
Université catholique de Louvain,Belgium,4
Vrije Universiteit Brussel,Belgium,4
Free University of Berlin,Germany,4
Friedrich Schiller University Jena,Germany,4
Charité – Universitätsmedizin Berlin,Germany,4
Technische Universität Dresden,Germany,4
University of Cologne,Germany,4
University of Göttingen,Germany,4
Leipzig University,Germany,4
University of Mannheim,Germany,4
University of Tartu,Estonia,4
Universidad de Salamanca,Spain,4
École normale supérieure,France,4
Université de Poitiers,France,4
Dublin City University,Ireland,4
University College Dublin,Ireland,4
University of Bergamo,Italy,4
University of Turin,Italy,4
Erasmus University Rotterdam,Netherlands,4
University of Twente,Netherlands,4
University of Warsaw,Poland,4
Catholic University of Portugal,Portugal,4
Alexandru Ioan Cuza University of Iaşi,Romania,4
Kazan Volga Region Federal University,Russian Federation,4
Lund University,Sweden,4
Uppsala University,Sweden,4
Tel Aviv University,Israel,4
Abant Izzet Baysal University,Turkey,4
Canakkale Onsekiz Mart University,Turkey,4
Middle East Technical University,Turkey,4
University of Baghdad,Iraq,4
Toronto Metropolitan University,Canada,4
University of Windsor,Canada,4
Michigan State University,United States,4
Oklahoma State University,United States,4
University of Arizona,United States,4
University of California at Berkeley,United States,4
University of Colorado Colorado Springs,United States,4
"University of Nevada, Reno",United States,4
Universidad de la Frontera,Chile,4
Aix-Marseille Université,France,4
Max Planck Institute for Human Cognitive and Brain Sciences,Germany,4
Brawijaya University,Indonesia,4
Universidad Adolfo Ibáñez,Chile,4
"Rutgers - The State University of New Jersey, Newark",United States,4
Leuphana University of Lüneburg,Germany,4
Universidad Católica Boliviana,Bolivia,4
Université PSL,France,4
Fundación Universitaria Konrad Lorenz,Colombia,4
Károli Gáspár University of the Reformed Church Budapest,Hungary,4
Menoufia University,Egypt,3
Université Cheikh Anta Diop de Dakar,Senegal,3
Monash University,Australia,3
University of Newcastle,Australia,3
University of Chinese Academy of Sciences,China,3
Hubei University,China,3
Chinese University of Hong Kong,Hong Kong,3
Kwansei Gakuin University,Japan,3
The University of Tokyo,Japan,3
University Utara Malaysia,Malaysia,3
Singapore Management University,Singapore,3
Sofia University St. Kliment Ohridski,Bulgaria,3
University of Basel,Switzerland,3
University of Bern,Switzerland,3
Saarland University,Germany,3
Heidelberg University ,Germany,3
University of Tübingen,Germany,3
University of Würzburg,Germany,3
Constructor University,Germany,3
University of Córdoba,Spain,3
Université Paris Nanterre,France,3
École des hautes études en sciences sociales,France,3
Aristotle University of Thessaloniki,Greece,3
University of Crete,Greece,3
University of Galway,Ireland,3
Vita-Salute San Raffaele University,Italy,3
University of Verona,Italy,3
University of Bergen,Norway,3
Jagiellonian University in Kraków,Poland,3
Nicolaus Copernicus University in Toruń,Poland,3
University of Gdańsk,Poland,3
University of Nis,Serbia,3
Kyiv National Taras Shevchenko University,Ukraine,3
Bar-Ilan University,Israel,3
Adnan Menderes University,Turkey,3
Dokuz Eylul University,Turkey,3
Hacettepe University,Turkey,3
Eastern Mediterranean University,Cyprus,3
McMaster University,Canada,3
University of Calgary,Canada,3
QEII Health Sciences Centre,Canada,3
Universidad Nacional Autónoma de México,Mexico,3
City University of New York,United States,3
Icahn School of Medicine at Mount Sinai,United States,3
Temple University,United States,3
University of Colorado Boulder,United States,3
"University of Maryland, College Park",United States,3
University of Minnesota Twin Cities,United States,3
University of Pittsburgh,United States,3
University of Rhode Island,United States,3
University of Virginia,United States,3
University of Washington,United States,3
Vanderbilt University,United States,3
Universidad de Santiago de Chile,Chile,3
Universitas Airlangga,Indonesia,3
Lawrence Technological University,United States,3
Max Planck Institute for Human Development,Germany,3
University of Trnava,Slovakia,3
ORYGEN Youth Health,Australia,3
The British University in Egypt,Egypt,3
Université Toulouse Jean Jaurès,France,3
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires - UCA,Argentina,3
Reykjavík University,Iceland,3
South-West University Neofit Rilski,Bulgaria,3
Vietnam National University Ho Chi Minh City,Viet Nam,3
Ordu University,Turkey,3
Leibniz Institute for the Social Sciences,Germany,3
Sunway University,Malaysia,3
University of Hail,Saudi Arabia,3
IRCCS Ospedale San Raffaele,Italy,3
Coe College,United States,3
Nelson Mandela Africa Institution of Science and Technology,Tanzania,3
Alex Ekwueme Federal University Ndufu-Alike Ikwo,Nigeria,3
Macedonian Academy of Sciences and Arts,North Macedonia,3
"Child Mind Institute, Inc.",United States,3
Universidad Manuelta Beltrán,Colombia,3
Universidad de O'Higgins,Chile,3
Ankara Science University,Turkey,3
University of Johannesburg,South Africa,2
University of Pretoria,South Africa,2
University of South Africa,South Africa,2
Flinders University,Australia,2
Griffith University Queensland,Australia,2
James Cook University Queensland,Australia,2
University of Sydney,Australia,2
University of Wollongong,Australia,2
Shanghai Jiao Tong University,China,2
Zhejiang University,China,2
Anhui Agricultural University,China,2
University of Indonesia,Indonesia,2
Indian Institute of Technology Delhi,India,2
Hiroshima University,Japan,2
Kochi University of Technology,Japan,2
Osaka University,Japan,2
University of Malaya,Malaysia,2
University of Waikato,New Zealand,2
University of the Philippines,Philippines,2
De La Salle University-Manila,Philippines,2
University of Peshawar,Pakistan,2
"Agency for Science, Technology and Research, Singapore",Singapore,2
National Chung Cheng University,Taiwan,2
University of Graz,Austria,2
Belgian National Fund for Scientific Research,Belgium,2
University of St. Gallen,Switzerland,2
University of Fribourg,Switzerland,2
Masaryk University,Czech Republic,2
Heinrich Heine University Düsseldorf,Germany,2
Humboldt University of Berlin,Germany,2
University of Konstanz,Germany,2
Witten/Herdecke University,Germany,2
University of Wuppertal,Germany,2
Zentralinstitut fur Seelische Gesundheit - Central Institute of Mental Health,Germany,2
Physikalisch-Technische Bundesanstalt,Germany,2
CSIC,Spain,2
University of Vigo,Spain,2
Public University of Navarre,Spain,2
University of Valencia,Spain,2
Universidad Rovira i Virgili,Spain,2
Hospital Regional Universitario Carlos Haya,Spain,2
Ramon Llull University,Spain,2
University of Helsinki,Finland,2
Université de Caen,France,2
Nantes Université,France,2
Université Côte d'Azur,France,2
Université de Picardie Jules Verne,France,2
Université de Reims Champagne-Ardenne,France,2
Université de Rennes,France,2
Université de Strasbourg,France,2
Université Rennes 2,France,2
University of Thessaly,Greece,2
University of Zagreb,Croatia,2
University College Cork,Ireland,2
University of Camerino,Italy,2
University of Salento,Italy,2
University of Milan,Italy,2
University of Modena and Reggio Emilia,Italy,2
University of Siena,Italy,2
University of Latvia,Latvia,2
Wageningen University & Research,Netherlands,2
AGH University of Krakow,Poland,2
University of Lisbon,Portugal,2
Romanian Academy,Romania,2
RAS - Pavlov Institute of Physiology,Russian Federation,2
Linköping University,Sweden,2
Isfahan University of Medical Sciences,Iran,2
Islamic Azad University,Iran,2
Manisa Celal Bayar University,Turkey,2
Cankaya University,Turkey,2
Concordia University,Canada,2
University of Regina,Canada,2
Western University,Canada,2
Boston College,United States,2
Cornell University,United States,2
DePaul University,United States,2
Fordham University,United States,2
George Washington University,United States,2
Indiana University Bloomington,United States,2
Johns Hopkins University,United States,2
Medical University of South Carolina,United States,2
Oregon Health and Science University,United States,2
"Rutgers - The State University of New Jersey, New Brunswick",United States,2
San Diego State University,United States,2
Syracuse University,United States,2
Texas A&M University,United States,2
University of California at Irvine,United States,2
University of Houston,United States,2
University of Illinois at Chicago,United States,2
University of Kansas,United States,2
University of Kentucky,United States,2
University of Miami,United States,2
University of Oregon,United States,2
University of Vermont,United States,2
Washington State University Pullman,United States,2
Washington University St. Louis,United States,2
Pontifícia Universidade Católica do Rio de Janeiro,Brazil,2
Universidade Estadual de Campinas,Brazil,2
Universidade Federal da Paraíba,Brazil,2
Universidade Federal de Santa Catarina,Brazil,2
Universidad de Chile,Chile,2
Universidad Católica del Maule,Chile,2
Max Planck Institute of Experimental Medicine,Germany,2
Max Planck Institute for Evolutionary Anthropology,Germany,2
Max Planck Institute for Research On Collective Goods,Germany,2
Universidad Peruana de Ciencias Aplicadas,Peru,2
Universitas Udayana,Indonesia,2
University of Nottingham Malaysia Campus,Malaysia,2
University of Presov in Presov,Slovakia,2
"University of SS Cyril and Methodius, Trnava",Slovakia,2
"University of Economics, Prague",Czech Republic,2
Karabuk University,Turkey,2
Usmanu Danfodiyo University,Nigeria,2
California State University East Bay,United States,2
Université de Bordeaux,France,2
ESADE Business School,Spain,2
Inland Norway University of Applied Sciences,Norway,2
