Institutions,Country_by_institution,Outputs,Latitude,Longitude
Vrije Universiteit Amsterdam,Netherlands,41,52.3340539,4.865188201518784
CNRS,France,34,48.8475401,2.2640299470873737
University of Amsterdam,Netherlands,33,52.36813335,4.889804155733945
University of Groningen,Netherlands,27,53.21944155,6.562986329174857
KU Leuven,Belgium,26,50.80571285,3.2915374489139757
Instituto de Salud Carlos III,Spain,25,40.458841500000005,-3.8649465199302897
Centro de Investigación Biomédica en Red,Spain,25,,
Johnson & Johnson,United States,23,51.270953,7.229879174262734
Amsterdam UMC,Netherlands,23,52.2924635,4.956576595884709
University of Massachusetts,United States,22,42.3582529,-71.0966272383055
Maynooth University,Ireland,21,53.3821766,-6.5987338
Trinity College Dublin,Ireland,20,53.34366705,-6.254436557768817
Dalhousie University,Canada,20,44.63620105,-63.591996064796504
University of Barcelona,Spain,19,41.38685955,2.163478411827376
Institut national de la santé et de la recherche médicale,France,19,43.63609935,3.845741931632569
Pontificia Universidad Católica de Chile,Chile,19,-33.44177485,-70.64032584797746
University Institute of Lisbon,Portugal,19,38.7478481,-9.153431699999999
Tilburg University,Netherlands,18,51.56306085,5.043598467727852
University of Toronto,Canada,17,43.663461999999996,-79.39775966248058
Kyoto University,Japan,16,35.0229299,135.777149
University of Limerick,Ireland,16,52.67325805,-8.569809653548548
Utrecht University,Netherlands,16,52.0832758,5.1478185
University of Hamburg,Germany,15,53.5641091,9.994978875267606
Radboud University Nijmegen,Netherlands,15,51.82151725,5.863403442541042
Clark University,United States,15,42.251468149999994,-71.82295086144981
Northwestern University,United States,15,42.0557157,-87.67529454739416
University of Queensland,Australia,14,-27.498142350000002,153.01115355575917
Lingnan University,Hong Kong,14,22.412358750000003,113.98128517593481
H. Lundbeck A/S,Denmark,14,55.65694335,12.516631143581215
King Saud University,Saudi Arabia,14,24.7248229,46.62339110195674
Iowa State University,United States,14,42.0279608,-93.64473746093857
Stanford University,United States,14,37.431313849999995,-122.16936535498309
Ruhr University Bochum,Germany,13,51.444157649999994,7.260965412383296
McGill University,Canada,13,45.50688675,-73.57908551043636
Universidade de Brasília,Brazil,13,-15.84502125,-48.099459012222276
University of Melbourne,Australia,12,-37.8038271,144.9597056360034
Ivane Javakhishvili Tbilisi State University,Georgia,12,41.7170696,44.72137575446858
Czech Academy of Sciences,Czech Republic,12,50.08177175,14.41414746429405
Polish Academy of Sciences,Poland,12,52.2377936,21.0181978
West University of Timisoara,Romania,12,45.74732925,21.23126099621941
University of Belgrade,Serbia,12,44.8179654,20.450776496755196
Carleton University,Canada,12,45.3858581,-75.69500411688679
Queen's University Kingston,Canada,12,44.22634885,-76.49575545601735
New York University,United States,12,40.729205300000004,-73.99501481290962
SWPS University of Social Sciences and Humanities,Poland,12,52.2483057,21.065389805881438
Université Paris Cité,France,12,48.82959855,2.381684300259244
Nanyang Technological University,Singapore,11,1.3484104000000001,103.68293320728537
University of Oslo,Norway,11,59.9414173,10.722768340750914
University of Montreal,Canada,11,45.5092094,-73.58075877093961
York University Toronto,Canada,11,43.7743325,-79.50027054016516
Harvard University,United States,11,42.365743249999994,-71.12221394207614
The University of Chicago,United States,11,41.784977,-87.5905237123017
Université Fédérale Toulouse Midi-Pyrénées,France,11,43.5949741,1.4515345
Renmin University of China,China,10,39.9695397,116.30712905005895
Johannes Kepler University Linz,Austria,10,48.33608985,14.320579914064746
University of Vienna,Austria,10,48.2131469,16.35997
Bielefeld University,Germany,10,52.0376885,8.493223283579532
National and Kapodistrian University of Athens,Greece,10,37.9807412,23.7337635
Eotvos Lorand University,Hungary,10,47.4934799,19.061899330588723
University of Padua,Italy,10,40.7272282,-74.001322619863
Leiden University,Netherlands,10,52.1686355,4.459702754883444
Columbia University,United States,10,40.80775585,-73.96161411567529
Yale University,United States,10,41.25713055,-72.98966960152231
Higher School of Economics,Russian Federation,10,58.01074455,56.281946091146445
Istanbul Bilgi University,Turkey,10,41.039789850000005,28.974294142976046
Macquarie University,Australia,9,-33.774197,151.1127326987788
Hokkaido University,Japan,9,43.07900775,141.33772952994423
Victoria University of Wellington,New Zealand,9,-36.8482415,174.76775596988733
Augsburg University,Germany,9,44.9662364,-93.24110466136236
Sorbonne Université,France,9,48.837988499999994,2.3611216301460356
Duke University,United States,9,36.00015569999999,-78.94422972195878
Pennsylvania State University,United States,9,40.8025835,-77.85593833184565
University of Georgia,United States,9,33.9404278,-83.37304904988295
Canadian Institute for Advanced Research,Canada,9,,
International Islamic University Malaysia,Malaysia,8,3.25308125,101.73568422975772
The University of Auckland,New Zealand,8,-36.8660955,174.77373309361866
University of Geneva,Switzerland,8,41.799306099999995,-80.96166676305658
Ulm University,Germany,8,48.841707150000005,2.3447923126871286
University of Copenhagen,Denmark,8,55.6801502,12.57232700140625
University of Granada,Spain,8,37.1827211,-3.6056278
University of Campania Luigi Vanvitelli,Italy,8,40.9685925,14.208581891623606
Catholic University of the Sacred Heart,Italy,8,45.4621325,9.177178500000002
Roma Tre University,Italy,8,41.85128085,12.474972435492532
Karolinska Institutet,Sweden,8,59.3515453,18.0310658
Slovak Academy of Sciences,Slovakia,8,48.3198619,18.369856291310015
American University of Beirut,Lebanon,8,33.9000264,35.48238377752095
TOBB University of Economics and Technology,Turkey,8,39.9200738,32.80174350779299
University of British Columbia,Canada,8,49.25783145,-123.24624198622213
Massachusetts Institute of Technology,United States,8,42.3582529,-71.0966272383055
University of California at Santa Barbara,United States,8,34.4139629,-119.848947
University of Pennsylvania,United States,8,39.949340449999994,-75.18964936995958
Universidade de São Paulo,Brazil,8,-21.999246,-47.93070696008918
TED University,Turkey,8,39.9237514,32.86102817975936
Nagoya University of Commerce and Business,Japan,8,35.1547844,137.0934089
LAB University of Applied Sciences,Finland,8,61.0061098,25.6557888
La Trobe University,Australia,7,-37.717222,145.0442807
University of New South Wales,Australia,7,-33.91759945,151.23126487290787
Hong Kong Polytechnic University,Hong Kong,7,22.302644,114.1776025
University of Zurich,Switzerland,7,47.49684345,8.72980716809498
Charles University,Czech Republic,7,60.4518905,22.2791628
Palacký University Olomouc,Czech Republic,7,49.5954268,17.2600153
Aarhus University,Denmark,7,56.1670905,10.202617693592895
Complutense University,Spain,7,40.4314742,-3.7900439484094033
University of Málaga,Spain,7,36.72312445,-4.449654826804728
Université Clermont Auvergne,France,7,45.7595573,3.113909599713632
Universite Jean Monnet Saint-Etienne,France,7,45.42305665,4.425721200764729
Hungarian Academy of Sciences,Hungary,7,47.50126265,19.046133737708708
Gabriele d'Annunzio University,Italy,7,42.367942299999996,14.148912484423334
University of Rome La Sapienza,Italy,7,41.9037626,12.5144384
University of Trento,Italy,7,46.0661497,11.11662318758863
University of Milan - Bicocca,Italy,7,45.5182898,9.2137614
Maastricht University,Netherlands,7,50.84720265,5.685941396293034
Sabanci University,Turkey,7,40.8927159,29.378633226358197
Clemson University,United States,7,34.66869155,-82.83743475607795
"University of Michigan, Ann Arbor",United States,7,42.2942142,-83.71003893509601
University of Rochester,United States,7,43.129864,-77.62878399245412
Pontificia Universidad Católica del Perú,Peru,7,-12.0691658,-77.07993483360875
Institute of Psychology of the Polish Academy of Sciences,Poland,7,,
University of Ghana,Ghana,6,5.64659785,-0.18800395110458934
Australian National University,Australia,6,-35.2813935,149.11714511802117
Deakin University,Australia,6,-37.847513649999996,145.11494735286496
University of Western Australia,Australia,6,-31.95040445,115.79790157357621
Australian Catholic University,Australia,6,-37.80725425,144.97784654604976
Nagoya University,Japan,6,35.1583416,136.9219146
Sogang University,South Korea,6,37.5521044,126.9409838739227
Thammasat University,Thailand,6,14.0793792,100.5885381
National Chengchi University,Taiwan,6,24.9802063,121.57491055365293
University of Lausanne,Switzerland,6,46.5225695,6.580949860268587
University of Marburg,Germany,6,50.8101824,8.7739563
Ludwig Maximilian University of Munich,Germany,6,48.15047575,11.579835648337658
University of Münster,Germany,6,51.96734215,7.599243326272159
Institut universitaire de France,France,6,44.3543973,2.5638090629711474
University of Iceland,Iceland,6,64.14018315,-21.95396327335172
University of Cagliari,Italy,6,39.2176552,9.1149673
University of Messina,Italy,6,38.1891325,15.5529787
IRCCS Fondazione Santa Lucia - Roma,Italy,6,41.8413174,12.5145365
Vilnius University,Lithuania,6,54.682847,25.28784063939981
Babes-Bolyai University,Romania,6,46.7677836,23.591976552323946
Russian Academy of Sciences,Russian Federation,6,55.71080885000001,37.57896991984255
Stockholm University,Sweden,6,59.366141,18.059592960559392
Ben-Gurion University of the Negev,Israel,6,31.2631254,34.802238544584185
Arizona State University,United States,6,33.4213174,-111.93316305413154
National Institutes of Health,United States,6,39.00001425,-77.10400394523563
University of California at Davis,United States,6,38.5382322,-121.7617125
"University of Maryland, Baltimore",United States,6,39.289447800000005,-76.62630185349286
University of North Carolina at Chapel Hill,United States,6,35.90503535,-79.04775326525107
University of South Florida,United States,6,28.0599999,-82.41383619025117
Universidade Presbiteriana Mackenzie,Brazil,6,-23.547193800000002,-46.652463102705724
Universidad de los Andes Colombia,Colombia,6,4.6014026,-74.06490497198021
Tallinn University,Estonia,6,59.4393125,24.772347058941484
CAS - Institute of Psychology,China,6,39.9106327,116.3356321
Chinese Academy of Sciences,China,6,39.90933665,116.32971461228999
Reichman University,Israel,6,32.17625285,34.83709109840297
Universidad Iberoamericana (UIA),Mexico,6,19.3694072,-99.2640157
Universidad Diego Portales,Chile,6,-33.45093185,-70.65976821175127
University of the Valley of Guatemala,Guatemala,6,15.783471,-90.23075899999999
Universidad del Desarrollo,Chile,6,-36.8204644,-73.03708092271319
Nord University,Norway,6,67.289197,14.560430849235708
Omsk State University,Russian Federation,6,55.0257294,73.29121096581898
Universidad ICESI,Colombia,6,3.3408806,-76.52917861791352
Instituto D'or de Pesquisa e Ensino,Brazil,6,,
Zurich University of Applied Sciences,Switzerland,6,47.49684345,8.72980716809498
Indiana University Northwest,United States,6,41.55705605,-87.33775066715813
Baze University,Nigeria,6,9.00632445,7.404669252837307
Research Centre for Natural Sciences,Hungary,6,,
Universidad Nacional de La Matanza,Argentina,6,-34.6671767,-58.566400855321675
The University of Haripur,Pakistan,6,33.978055,72.91278419999999
Curtin University,Australia,5,-32.0057281,115.8929073394684
Peking University,China,5,39.99171495,116.30393496863539
The University of Hong Kong,Hong Kong,5,22.28269745,114.13845499995571
Chulalongkorn University,Thailand,5,13.7431095,100.53288411765634
Université libre de Bruxelles,Belgium,5,50.81347185,4.381235729203142
University of Cyprus,Cyprus,5,35.14340315,33.41405137768187
Osnabrück University,Germany,5,52.270887200000004,8.045711932169596
University of Bonn,Germany,5,50.7338124,7.1022465
Universidad Autónoma de Madrid,Spain,5,40.5453765,-3.6949577655963672
University of Zaragoza,Spain,5,41.6420639,-0.9015065
National Distance Education University,Spain,5,40.0327348,-3.60177
Autonomous University of Barcelona,Spain,5,41.5021421,2.1038536
Commissariat à l’énergie atomique et aux énergies alternatives,France,5,,
Universite Claude Bernard Lyon 1,France,5,45.78166445,4.868154514412188
University of Rijeka,Croatia,5,45.3256265,14.4541092
University of Bologna,Italy,5,44.4969129,11.352376
IRCCS Centro San Giovanni di Dio Fatebenefratelli - Brescia,Italy,5,45.5234342,10.2017266
University of Tromsø – The Arctic University of Norway,Norway,5,69.6819069,18.972490634079904
University of Novi Sad,Serbia,5,45.246226,19.851175531732203
University of Luxembourg,Luxembourg,5,49.5036259,5.948715453669688
Yerevan State University,Armenia,5,40.18156225,44.526434013185906
Saint Francis Xavier University,Canada,5,45.6177357,-61.99539410000001
Simon Fraser University,Canada,5,49.276709600000004,-122.91780296438841
University of Waterloo,Canada,5,43.4701994,-80.54524293779451
Purdue University,United States,5,40.430028,-86.92642114650494
University of California at Los Angeles,United States,5,34.0699182,-118.4438495
University of California at San Diego,United States,5,32.8794637,-117.235911
University of Illinois at Urbana-Champaign,United States,5,40.090629199999995,-88.17641799034426
University of Texas at Austin,United States,5,30.2851494,-97.73393515146053
Consejo Nacional de Investigaciones Científicas y Técnicas,Argentina,5,-42.7862795,-65.00766336368035
Universidad de Buenos Aires,Argentina,5,-34.508711500000004,-58.68837906432547
NYU Abu Dhabi,United Arab Emirates,5,40.73206935,-73.9976431125895
International Islamic University Islamabad,Pakistan,5,33.66361245,73.02663611145223
Universidad San Sebastián,Chile,5,-36.8130912,-73.0434022053635
Université de Lyon,France,5,45.7297811,4.826581921660953
Massachusetts General Hospital,United States,5,42.36286045,-71.06875296664998
University of Nigeria,Nigeria,4,6.86410245,7.409739732182379
North West University,South Africa,4,-26.687461550000002,27.091640615583188
Fudan University,China,4,31.30116485,121.49808756382322
Southwest University,China,4,29.823237149999997,106.41958835875167
Sungkyunkwan University,South Korea,4,37.3003187,126.9697911
Yonsei University,South Korea,4,37.280096549999996,127.90150303233045
University of Otago,New Zealand,4,-45.8649793,170.51461487350844
National University of Singapore,Singapore,4,1.2962018,103.77689765953073
Ghent University,Belgium,4,51.00784845,3.710883068491984
Université catholique de Louvain,Belgium,4,50.821212700000004,4.34955336942806
Vrije Universiteit Brussel,Belgium,4,50.886677199999994,4.305749431622016
Free University of Berlin,Germany,4,52.4543245,13.2934768
Friedrich Schiller University Jena,Germany,4,50.92943289999999,11.5896642
Charité – Universitätsmedizin Berlin,Germany,4,52.5299885,13.34866394036122
Technische Universität Dresden,Germany,4,51.028276500000004,13.735982754935176
University of Cologne,Germany,4,50.928044549999996,6.928130514523661
University of Göttingen,Germany,4,51.54149460000001,9.9375952
Leipzig University,Germany,4,51.33845385,12.37863856850984
University of Mannheim,Germany,4,49.483885,8.470873599132947
University of Tartu,Estonia,4,58.38101399999999,26.719559831081384
Universidad de Salamanca,Spain,4,20.7994696,-102.7646453
École normale supérieure,France,4,48.841707150000005,2.3447923126871286
Université de Poitiers,France,4,46.585955,0.3460338179005129
Dublin City University,Ireland,4,53.386489499999996,-6.25926073106762
University College Dublin,Ireland,4,53.3068763,-6.224625093340977
University of Bergamo,Italy,4,45.6941966,9.6707462
University of Turin,Italy,4,45.0691151,7.6898971
Erasmus University Rotterdam,Netherlands,4,51.9176312,4.525962326490774
University of Twente,Netherlands,4,52.2425267,6.8567575
University of Warsaw,Poland,4,52.2394966,21.015693129786936
Catholic University of Portugal,Portugal,4,38.749139799999995,-9.165983093884673
Alexandru Ioan Cuza University of Iaşi,Romania,4,47.1742512,27.57113688794361
Kazan Volga Region Federal University,Russian Federation,4,55.7906985,49.1216444
Lund University,Sweden,4,55.7126504,13.210758659399971
Uppsala University,Sweden,4,59.8559511,17.663355
Tel Aviv University,Israel,4,32.112382249999996,34.80501795095419
Abant Izzet Baysal University,Turkey,4,40.7392747,31.60263422318974
Canakkale Onsekiz Mart University,Turkey,4,40.1120066,26.421464811380968
Middle East Technical University,Turkey,4,39.875496749999996,32.78553505584672
University of Baghdad,Iraq,4,33.347177,44.408292
Toronto Metropolitan University,Canada,4,43.658534200000005,-79.37846742853738
